,Open,High,Low,Close,Volume,VolumeTicks
2023.08.17 09:54,118470.00000,118540.00000,118450.00000,118525.00000,11896,36452
2023.08.17 09:55,118525.00000,118585.00000,118520.00000,118530.00000,10798,33400
2023.08.17 09:56,118530.00000,118570.00000,118525.00000,118555.00000,3611,10886
2023.08.17 09:57,118550.00000,118680.00000,118545.00000,118670.00000,19844,65043
2023.08.17 09:58,118665.00000,118700.00000,118640.00000,118655.00000,12179,34625
2023.08.17 09:59,118655.00000,118675.00000,118615.00000,118665.00000,8255,25796
2023.08.17 10:00,118660.00000,118725.00000,118635.00000,118645.00000,17120,51022
2023.08.17 10:01,118645.00000,118685.00000,118585.00000,118590.00000,13394,39553
2023.08.17 10:02,118590.00000,118610.00000,118475.00000,118485.00000,22532,65768
2023.08.17 10:03,118490.00000,118495.00000,118380.00000,118395.00000,20789,64710
2023.08.17 10:04,118400.00000,118555.00000,118370.00000,118520.00000,25346,76475
2023.08.17 10:05,118520.00000,118550.00000,118465.00000,118540.00000,10717,32237
2023.08.17 10:06,118535.00000,118585.00000,118425.00000,118440.00000,18802,54668
2023.08.17 10:07,118445.00000,118630.00000,118435.00000,118630.00000,26818,79168
2023.08.17 10:08,118630.00000,118675.00000,118585.00000,118610.00000,19140,61124
2023.08.17 10:09,118610.00000,118735.00000,118605.00000,118720.00000,17418,56953
2023.08.17 10:10,118725.00000,118745.00000,118510.00000,118555.00000,31066,92095
2023.08.17 10:11,118555.00000,118605.00000,118520.00000,118595.00000,12466,37363
2023.08.17 10:12,118595.00000,118655.00000,118555.00000,118600.00000,15305,45186
2023.08.17 10:13,118595.00000,118595.00000,118495.00000,118525.00000,18107,54915
2023.08.17 10:14,118530.00000,118650.00000,118505.00000,118615.00000,13619,38436
2023.08.17 10:15,118615.00000,118630.00000,118475.00000,118545.00000,18035,52978
2023.08.17 10:16,118550.00000,118660.00000,118505.00000,118660.00000,17186,52923
2023.08.17 10:17,118655.00000,118700.00000,118595.00000,118645.00000,18057,56342
2023.08.17 10:18,118645.00000,118820.00000,118635.00000,118785.00000,29767,98845
2023.08.17 10:19,118785.00000,118860.00000,118740.00000,118770.00000,26988,79167
2023.08.17 10:20,118770.00000,118840.00000,118650.00000,118680.00000,26421,78677
2023.08.17 10:21,118685.00000,118715.00000,118545.00000,118590.00000,20780,64231
2023.08.17 10:22,118590.00000,118620.00000,118555.00000,118605.00000,9154,29951
2023.08.17 10:23,118605.00000,118610.00000,118505.00000,118535.00000,13064,39307
2023.08.17 10:24,118540.00000,118735.00000,118520.00000,118725.00000,20047,62643
2023.08.17 10:25,118730.00000,118745.00000,118635.00000,118670.00000,16350,52083
2023.08.17 10:26,118670.00000,118680.00000,118600.00000,118620.00000,9448,27247
2023.08.17 10:27,118620.00000,118685.00000,118555.00000,118570.00000,10527,31055
2023.08.17 10:28,118565.00000,118690.00000,118545.00000,118660.00000,12023,36254
2023.08.17 10:29,118655.00000,118675.00000,118500.00000,118530.00000,13086,39476
2023.08.17 10:30,118525.00000,118550.00000,118440.00000,118445.00000,19534,61506
2023.08.17 10:31,118440.00000,118545.00000,118410.00000,118455.00000,22138,74535
2023.08.17 10:32,118460.00000,118550.00000,118435.00000,118525.00000,15009,47923
2023.08.17 10:33,118525.00000,118625.00000,118505.00000,118515.00000,17754,55981
2023.08.17 10:34,118520.00000,118530.00000,118410.00000,118475.00000,17176,58004
2023.08.17 10:35,118480.00000,118535.00000,118435.00000,118510.00000,14231,54062
2023.08.17 10:36,118510.00000,118510.00000,118375.00000,118425.00000,20191,68393
2023.08.17 10:37,118425.00000,118425.00000,118350.00000,118400.00000,18242,60235
2023.08.17 10:38,118400.00000,118465.00000,118360.00000,118455.00000,10787,35103
2023.08.17 10:39,118450.00000,118535.00000,118370.00000,118520.00000,22561,80082
2023.08.17 10:40,118520.00000,118620.00000,118500.00000,118615.00000,21424,66584
2023.08.17 10:41,118610.00000,118650.00000,118540.00000,118640.00000,15420,50566
2023.08.17 10:42,118640.00000,118785.00000,118635.00000,118750.00000,29540,97498
2023.08.17 10:43,118745.00000,118825.00000,118675.00000,118810.00000,21141,73257
2023.08.17 10:44,118815.00000,118830.00000,118695.00000,118740.00000,19287,66879
2023.08.17 10:45,118745.00000,118775.00000,118695.00000,118745.00000,11578,36436
2023.08.17 10:46,118745.00000,118855.00000,118710.00000,118805.00000,19773,66691
2023.08.17 10:47,118800.00000,118835.00000,118720.00000,118750.00000,13525,43841
2023.08.17 10:48,118755.00000,118825.00000,118705.00000,118705.00000,12932,43975
2023.08.17 10:49,118710.00000,118730.00000,118485.00000,118505.00000,32323,102649
2023.08.17 10:50,118510.00000,118595.00000,118460.00000,118500.00000,24186,81208
2023.08.17 10:51,118500.00000,118635.00000,118480.00000,118600.00000,16960,52624
2023.08.17 10:52,118600.00000,118655.00000,118570.00000,118580.00000,10536,31467
2023.08.17 10:53,118580.00000,118610.00000,118505.00000,118525.00000,10131,32048
2023.08.17 10:54,118525.00000,118555.00000,118470.00000,118490.00000,11386,36357
2023.08.17 10:55,118490.00000,118495.00000,118325.00000,118340.00000,28269,92191
2023.08.17 10:56,118340.00000,118370.00000,118235.00000,118320.00000,34092,108307
2023.08.17 10:57,118320.00000,118410.00000,118300.00000,118320.00000,21995,71351
2023.08.17 10:58,118320.00000,118380.00000,118290.00000,118345.00000,11202,34956
2023.08.17 10:59,118350.00000,118355.00000,118275.00000,118295.00000,7940,24229
2023.08.17 11:00,118300.00000,118430.00000,118265.00000,118410.00000,20603,67368
2023.08.17 11:01,118405.00000,118410.00000,118275.00000,118340.00000,18961,62640
2023.08.17 11:02,118335.00000,118515.00000,118315.00000,118455.00000,23620,76348
2023.08.17 11:03,118455.00000,118500.00000,118425.00000,118450.00000,10279,33075
2023.08.17 11:04,118460.00000,118475.00000,118385.00000,118405.00000,10816,32396
2023.08.17 11:05,118405.00000,118415.00000,118305.00000,118310.00000,14947,47864
2023.08.17 11:06,118315.00000,118400.00000,118280.00000,118390.00000,18070,60235
2023.08.17 11:07,118390.00000,118500.00000,118385.00000,118485.00000,16703,57681
2023.08.17 11:08,118480.00000,118490.00000,118395.00000,118420.00000,10357,36205
2023.08.17 11:09,118415.00000,118490.00000,118405.00000,118430.00000,8025,27377
2023.08.17 11:10,118430.00000,118490.00000,118425.00000,118440.00000,5984,22471
2023.08.17 11:11,118445.00000,118450.00000,118345.00000,118345.00000,11950,38601
2023.08.17 11:12,118350.00000,118435.00000,118345.00000,118405.00000,10667,36294
2023.08.17 11:13,118410.00000,118430.00000,118345.00000,118390.00000,7825,26521
2023.08.17 11:14,118390.00000,118460.00000,118345.00000,118445.00000,9215,30937
2023.08.17 11:15,118440.00000,118495.00000,118410.00000,118490.00000,9979,35165
2023.08.17 11:16,118490.00000,118530.00000,118425.00000,118465.00000,15621,48187
2023.08.17 11:17,118465.00000,118480.00000,118345.00000,118355.00000,14450,46249
2023.08.17 11:18,118360.00000,118485.00000,118355.00000,118460.00000,11416,39248
2023.08.17 11:19,118455.00000,118460.00000,118400.00000,118425.00000,5401,17524
2023.08.17 11:20,118430.00000,118460.00000,118400.00000,118415.00000,6241,22412
2023.08.17 11:21,118420.00000,118425.00000,118325.00000,118385.00000,13710,44143
2023.08.17 11:22,118380.00000,118430.00000,118375.00000,118390.00000,7326,22482
2023.08.17 11:23,118390.00000,118425.00000,118360.00000,118390.00000,4816,14580
2023.08.17 11:24,118390.00000,118390.00000,118275.00000,118305.00000,15961,53847
2023.08.17 11:25,118300.00000,118335.00000,118285.00000,118305.00000,8126,27036
2023.08.17 11:26,118310.00000,118385.00000,118305.00000,118365.00000,8950,28863
2023.08.17 11:27,118360.00000,118390.00000,118345.00000,118365.00000,4719,15034
2023.08.17 11:28,118365.00000,118375.00000,118245.00000,118295.00000,15008,49084
2023.08.17 11:29,118295.00000,118335.00000,118285.00000,118330.00000,6022,19397
2023.08.17 11:30,118330.00000,118390.00000,118315.00000,118365.00000,10715,37070
2023.08.17 11:31,118365.00000,118370.00000,118280.00000,118305.00000,7841,24969
2023.08.17 11:32,118300.00000,118305.00000,118170.00000,118175.00000,25433,84523
2023.08.17 11:33,118175.00000,118190.00000,118005.00000,118025.00000,31326,106167
2023.08.17 11:34,118030.00000,118035.00000,117945.00000,117985.00000,26367,94110
2023.08.17 11:35,117980.00000,118075.00000,117970.00000,118035.00000,21118,71545
