,Open,High,Low,Close,Volume,VolumeTicks
2023.10.05 10:04,113855.00000,113930.00000,113850.00000,113875.00000,3237,32321
2023.10.05 10:05,113870.00000,113955.00000,113855.00000,113920.00000,3767,38024
2023.10.05 10:06,113920.00000,114020.00000,113920.00000,113975.00000,5788,71580
2023.10.05 10:07,113980.00000,113995.00000,113900.00000,113980.00000,3938,50591
2023.10.05 10:08,113980.00000,114045.00000,113970.00000,114035.00000,4756,54910
2023.10.05 10:09,114035.00000,114080.00000,114020.00000,114065.00000,4233,45843
2023.10.05 10:10,114065.00000,114100.00000,114025.00000,114060.00000,4996,67649
2023.10.05 10:11,114060.00000,114090.00000,113935.00000,113965.00000,5456,69823
2023.10.05 10:12,113965.00000,114030.00000,113940.00000,114000.00000,4073,42126
2023.10.05 10:13,114000.00000,114075.00000,113980.00000,114040.00000,3728,39690
2023.10.05 10:14,114035.00000,114095.00000,114010.00000,114045.00000,3794,41296
2023.10.05 10:15,114045.00000,114115.00000,114040.00000,114075.00000,4651,61931
2023.10.05 10:16,114075.00000,114160.00000,114075.00000,114085.00000,5626,71100
2023.10.05 10:17,114090.00000,114190.00000,114075.00000,114165.00000,4673,56620
2023.10.05 10:18,114170.00000,114320.00000,114140.00000,114255.00000,8067,120654
2023.10.05 10:19,114250.00000,114290.00000,114200.00000,114230.00000,4287,50963
2023.10.05 10:20,114230.00000,114270.00000,114170.00000,114205.00000,4766,64200
2023.10.05 10:21,114210.00000,114290.00000,114195.00000,114250.00000,3886,54123
2023.10.05 10:22,114250.00000,114285.00000,114225.00000,114260.00000,2341,24691
2023.10.05 10:23,114265.00000,114265.00000,114180.00000,114240.00000,3041,36545
2023.10.05 10:24,114235.00000,114280.00000,114220.00000,114240.00000,2192,21885
2023.10.05 10:25,114235.00000,114250.00000,114160.00000,114220.00000,3994,53068
2023.10.05 10:26,114225.00000,114305.00000,114210.00000,114270.00000,3948,41654
2023.10.05 10:27,114270.00000,114445.00000,114270.00000,114440.00000,7998,116591
2023.10.05 10:28,114435.00000,114455.00000,114360.00000,114370.00000,5184,68765
2023.10.05 10:29,114375.00000,114385.00000,114320.00000,114340.00000,3409,41413
2023.10.05 10:30,114340.00000,114440.00000,114320.00000,114395.00000,4938,66151
2023.10.05 10:31,114400.00000,114475.00000,114370.00000,114450.00000,4760,69114
2023.10.05 10:32,114445.00000,114490.00000,114415.00000,114430.00000,4253,50092
2023.10.05 10:33,114425.00000,114505.00000,114400.00000,114460.00000,4402,63393
2023.10.05 10:34,114460.00000,114495.00000,114410.00000,114420.00000,3157,36934
2023.10.05 10:35,114425.00000,114500.00000,114385.00000,114490.00000,4012,45961
2023.10.05 10:36,114490.00000,114505.00000,114400.00000,114430.00000,3782,49986
2023.10.05 10:37,114430.00000,114490.00000,114375.00000,114380.00000,3175,39885
2023.10.05 10:38,114380.00000,114400.00000,114255.00000,114255.00000,6659,91722
2023.10.05 10:39,114255.00000,114325.00000,114240.00000,114270.00000,4749,62356
2023.10.05 10:40,114270.00000,114355.00000,114250.00000,114255.00000,4832,59605
2023.10.05 10:41,114255.00000,114330.00000,114215.00000,114235.00000,4184,51511
2023.10.05 10:42,114235.00000,114280.00000,114185.00000,114270.00000,5123,59262
2023.10.05 10:43,114270.00000,114305.00000,114250.00000,114285.00000,2973,29377
2023.10.05 10:44,114285.00000,114320.00000,114260.00000,114320.00000,2507,29222
2023.10.05 10:45,114320.00000,114415.00000,114310.00000,114340.00000,6027,86835
2023.10.05 10:46,114340.00000,114350.00000,114270.00000,114335.00000,3948,49474
2023.10.05 10:47,114335.00000,114405.00000,114325.00000,114390.00000,3292,37117
2023.10.05 10:48,114390.00000,114450.00000,114365.00000,114370.00000,4020,52363
2023.10.05 10:49,114365.00000,114385.00000,114300.00000,114365.00000,3727,44623
2023.10.05 10:50,114360.00000,114545.00000,114360.00000,114520.00000,6686,95852
2023.10.05 10:51,114515.00000,114550.00000,114435.00000,114445.00000,4416,59621
2023.10.05 10:52,114445.00000,114520.00000,114440.00000,114520.00000,2960,30159
2023.10.05 10:53,114515.00000,114565.00000,114485.00000,114530.00000,4361,51629
2023.10.05 10:54,114535.00000,114560.00000,114475.00000,114510.00000,3045,34296
2023.10.05 10:55,114515.00000,114685.00000,114510.00000,114665.00000,7232,106730
2023.10.05 10:56,114670.00000,114685.00000,114625.00000,114650.00000,4081,48199
2023.10.05 10:57,114650.00000,114685.00000,114620.00000,114680.00000,3000,34055
2023.10.05 10:58,114680.00000,114720.00000,114655.00000,114655.00000,4072,47982
2023.10.05 10:59,114660.00000,114675.00000,114610.00000,114625.00000,3551,43560
2023.10.05 11:00,114630.00000,114640.00000,114455.00000,114490.00000,7486,113111
2023.10.05 11:01,114490.00000,114505.00000,114400.00000,114405.00000,4903,67655
2023.10.05 11:02,114400.00000,114405.00000,114290.00000,114340.00000,6005,86208
2023.10.05 11:03,114340.00000,114405.00000,114315.00000,114350.00000,4022,54089
2023.10.05 11:04,114350.00000,114405.00000,114310.00000,114325.00000,2859,31902
2023.10.05 11:05,114325.00000,114340.00000,114205.00000,114220.00000,6534,79896
2023.10.05 11:06,114220.00000,114240.00000,114160.00000,114200.00000,4830,55093
2023.10.05 11:07,114200.00000,114275.00000,114170.00000,114235.00000,4118,52686
2023.10.05 11:08,114240.00000,114305.00000,114220.00000,114290.00000,3499,41290
2023.10.05 11:09,114285.00000,114385.00000,114280.00000,114350.00000,4811,63270
2023.10.05 11:10,114345.00000,114365.00000,114175.00000,114185.00000,5179,59745
2023.10.05 11:11,114180.00000,114275.00000,114150.00000,114240.00000,4678,54257
2023.10.05 11:12,114240.00000,114325.00000,114220.00000,114250.00000,3693,48397
2023.10.05 11:13,114250.00000,114265.00000,114165.00000,114190.00000,3189,38317
2023.10.05 11:14,114190.00000,114320.00000,114175.00000,114280.00000,3705,42739
2023.10.05 11:15,114280.00000,114285.00000,114155.00000,114175.00000,4008,47121
2023.10.05 11:16,114175.00000,114225.00000,114145.00000,114205.00000,3862,54033
2023.10.05 11:17,114200.00000,114220.00000,114130.00000,114215.00000,3494,39987
2023.10.05 11:18,114220.00000,114250.00000,114155.00000,114200.00000,3366,35887
2023.10.05 11:19,114205.00000,114215.00000,114165.00000,114200.00000,1709,17677
2023.10.05 11:20,114195.00000,114260.00000,114195.00000,114230.00000,2735,31761
2023.10.05 11:21,114230.00000,114260.00000,114155.00000,114160.00000,2796,39182
2023.10.05 11:22,114165.00000,114235.00000,114145.00000,114160.00000,2591,30791
2023.10.05 11:23,114155.00000,114185.00000,114105.00000,114130.00000,4011,51732
2023.10.05 11:24,114130.00000,114160.00000,114110.00000,114120.00000,2364,27383
2023.10.05 11:25,114115.00000,114195.00000,114105.00000,114195.00000,2883,35725
2023.10.05 11:26,114195.00000,114235.00000,114170.00000,114235.00000,3029,36279
2023.10.05 11:27,114230.00000,114260.00000,114210.00000,114215.00000,2829,34340
2023.10.05 11:28,114220.00000,114230.00000,114160.00000,114195.00000,2703,33858
2023.10.05 11:29,114200.00000,114210.00000,114160.00000,114190.00000,1473,14345
2023.10.05 11:30,114185.00000,114250.00000,114145.00000,114235.00000,3186,38562
2023.10.05 11:31,114230.00000,114235.00000,114125.00000,114130.00000,3117,37756
2023.10.05 11:32,114130.00000,114215.00000,114105.00000,114205.00000,3515,42198
2023.10.05 11:33,114205.00000,114260.00000,114180.00000,114200.00000,3361,40236
2023.10.05 11:34,114205.00000,114220.00000,114080.00000,114110.00000,4390,61043
2023.10.05 11:35,114105.00000,114120.00000,113905.00000,113925.00000,7993,122800
